artist,song,mbid,timbre,timbreprobability,ismir04_rhythm,ismir04_rhythmprobability,voice_instrumental,voice_instrumentalprobability,gender,genderprobability,genre_rosamerica,genre_rosamericaprobability,mood_electronic,mood_electronicprobability,genre_electronic,genre_electronicprobability,mood_sad,mood_sadprobability,tonal_atonal,tonal_atonalprobability,mood_party,mood_partyprobability,moods_mirex,moods_mirexprobability,danceability,danceabilityprobability,genre_dortmund,genre_dortmundprobability,mood_acoustic,mood_acousticprobability,mood_happy,mood_happyprobability,mood_aggressive,mood_aggressiveprobability,genre_tzanetakis,genre_tzanetakisprobability,mood_relaxed,mood_relaxedprobability,uid
Nina Simone,Sugar in My Bowl,6331d8f8-13d7-4735-bca7-fcdd56d826e8,bright,0.999993,VienneseWaltz,0.484334,voice,0.945629,female,0.5,jaz,0.51915,not_electronic,0.947374,ambient,0.935272,sad,0.874522,tonal,0.987998,not_party,0.986643,Cluster3,0.443621,not_danceable,0.849426,folkcountry,0.441246,acoustic,0.935505,not_happy,0.754911,not_aggressive,0.956881,jaz,0.312432,relaxed,0.81373,Sugar in My Bowl:Nina Simone
Nina Simone,Be My Husband,6a31da8e-4606-417f-98d5-bed488157222,bright,0.935203,Tango,0.689319,voice,0.971373,male,0.979492,jaz,0.775028,not_electronic,0.585147,ambient,0.94837,sad,0.769308,tonal,0.953677,not_party,0.984369,Cluster5,0.291563,not_danceable,0.748671,electronic,0.560131,acoustic,0.97866,not_happy,0.733686,not_aggressive,0.811132,roc,0.301116,relaxed,0.850793,Be My Husband:Nina Simone
Nina Simone,Stars,d5e84d59-f2a0-434a-bc20-042b88676b8b,bright,0.940468,Tango,0.608585,instrumental,0.568576,male,0.972141,cla,0.693742,not_electronic,0.961184,ambient,0.923292,sad,0.795915,tonal,0.968274,not_party,0.985911,Cluster2,0.240812,not_danceable,0.9488,electronic,0.943373,acoustic,0.850296,happy,0.86065,not_aggressive,0.962803,roc,0.31775,relaxed,0.916058,Stars:Nina Simone
Nina Simone,If You Knew / Let It Be Me,994bbd78-a60a-4bb4-bf1e-f117cc807168,bright,0.754987,VienneseWaltz,0.934738,voice,0.691244,male,0.887691,cla,0.536374,not_electronic,0.966775,ambient,0.943403,sad,0.708098,tonal,0.943155,not_party,0.991843,Cluster3,0.460174,not_danceable,0.928325,electronic,0.998377,acoustic,0.966911,not_happy,0.714747,not_aggressive,0.997188,roc,0.317961,relaxed,0.99647,If You Knew / Let It Be Me:Nina Simone
Nina Simone,Balm in Gilead,f941ea63-7960-4207-9571-fc6babf93aea,bright,0.933482,VienneseWaltz,0.995187,voice,0.546082,male,0.999998,rhy,0.402777,not_electronic,0.897097,ambient,0.807856,sad,0.662575,tonal,0.998399,not_party,0.924131,Cluster3,0.366881,not_danceable,0.839097,electronic,0.9779,acoustic,0.924963,happy,0.79389,not_aggressive,0.995463,roc,0.186841,relaxed,0.794178,Balm in Gilead:Nina Simone
Nina Simone,Baltimore,a3609a27-7db1-4caf-8436-4ae42660565c,bright,0.94936,VienneseWaltz,0.79995,voice,0.632624,female,0.5,cla,0.494908,not_electronic,0.832073,ambient,0.855917,sad,0.555987,tonal,0.982274,not_party,0.987892,Cluster3,0.359213,not_danceable,0.959926,electronic,0.999287,acoustic,0.973416,not_happy,0.773075,not_aggressive,0.996176,jaz,0.306621,relaxed,0.927793,Baltimore:Nina Simone
Nina Simone,Just Like a Woman,56acfd89-2633-4340-9ea9-a27ea1f9820a,bright,0.995026,Tango,0.721798,voice,0.99556,male,0.89055,rhy,0.496438,not_electronic,0.978851,ambient,0.980637,sad,0.770971,tonal,0.995076,not_party,0.992122,Cluster3,0.468195,not_danceable,0.9595,folkcountry,0.718235,acoustic,0.993618,not_happy,0.524885,not_aggressive,0.999982,jaz,0.308866,relaxed,0.995306,Just Like a Woman:Nina Simone
Nina Simone,Four Women,ef08c6f8-b6ae-464f-997f-66ebdd97e2b9,bright,0.744742,VienneseWaltz,0.959529,voice,0.715632,male,0.71646,rhy,0.380284,not_electronic,0.698884,ambient,0.594289,sad,0.642173,tonal,0.955081,not_party,0.937995,Cluster3,0.54556,not_danceable,0.95201,electronic,0.999002,acoustic,0.668978,not_happy,0.90591,not_aggressive,0.999998,roc,0.18175,relaxed,0.644294,Four Women:Nina Simone
Nina Simone,Fodder on My Wings,ee70ada6-af54-4f73-b1ea-89a500a7db6f,bright,0.98246,Tango,0.5586,voice,0.734986,female,0.693178,cla,0.448774,not_electronic,0.828111,ambient,0.960216,sad,0.915417,tonal,0.985859,not_party,0.996741,Cluster3,0.605601,not_danceable,0.942961,electronic,0.958721,acoustic,0.987184,not_happy,0.589058,not_aggressive,0.999991,roc,0.318915,relaxed,0.920401,Fodder on My Wings:Nina Simone
Nina Simone,If You Pray Right (Heaven Belongs to You),116e5699-a173-4765-bd44-abbf8d9de889,bright,0.999999,Tango,0.655497,voice,0.815959,female,0.904357,rhy,0.285802,not_electronic,0.94771,ambient,0.937881,sad,0.849592,tonal,0.998614,not_party,0.964404,Cluster2,0.379389,not_danceable,0.846572,folkcountry,0.37905,acoustic,0.884916,happy,0.581963,not_aggressive,0.995311,jaz,0.304985,relaxed,0.606703,If You Pray Right (Heaven Belongs to You):Nina Simone
